phenotype	endpoint
Mature T/NK-cell lymphomas, hilmo (controls excluding all cancers)	CD2_TNK_LYMPHOMA_EXALLC
Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue (controls excluding all cancers)	CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_NAS_EXALLC
Other leukaemias of specified cell type (controls excluding all cancers)	CD2_OTHER_LEUKAEMIA_SPECIFIED_EXALLC
Monocytic leukaemia (controls excluding all cancers)	CD2_MONOCYTIC_LEUKAEMIA_EXALLC
Leukaemia of unspecified cell type (controls excluding all cancers)	CD2_LEUKAEMIA_NAS_EXALLC
Carcinoma in situ of vagina (controls excluding all cancers)	CD2_INSITU_VAGINA_EXALLC
Carcinoma in situ of rectum (controls excluding all cancers)	CD2_INSITU_RECTUM_EXALLC
Carcinoma in situ of penis (controls excluding all cancers)	CD2_INSITU_PENIS_EXALLC
Carcinoma in situ of oral cavity and pharynx (controls excluding all cancers)	CD2_INSITU_OROPHARYNX_EXALLC
Carcinoma in situ of oral cavity (controls excluding all cancers)	CD2_INSITU_ORALCAVITY_EXALLC
Carcinoma in situ of larynx (controls excluding all cancers)	CD2_INSITU_LARYNX_EXALLC
Carcinoma in situ of colon (controls excluding all cancers)	CD2_INSITU_COLON_EXALLC
Carcinoma in situ of breast, lobular (controls excluding all cancers)	CD2_INSITU_BREAST_LOBULAR_EXALLC
Carcinoma in situ of breast (controls excluding all cancers)	CD2_INSITU_BREAST_EXALLC
Benign neoplasm: Eye, unspecified (controls excluding all cancers)	CD2_EYE_NOS_EXALLC
Other benign neoplasm of uterus: Other parts/unspecified	CD2_BENIGN_UTERUS_NOS
Benign neoplasm: Uterine tubes and ligaments	CD2_BENIGN_UTERINE_TUBES_LIGAMENTS
Benign neoplasm: Urinary organ, other/unspecified	CD2_BENIGN_URINARY_NOS
Benign neoplasm: Tonsil	CD2_BENIGN_TONSIL
Benign neoplasm: Tongue	CD2_BENIGN_TONGUE
Benign neoplasm: Thymus	CD2_BENIGN_THYMUS
Benign neoplasm: Small intestine	CD2_BENIGN_SMALL_INTESTINE
Benign neoplasm: Scrotum	CD2_BENIGN_SCROTUM
Benign neoplasm: other/unspecified salivary gland	CD2_BENIGN_SALIVARY_NOS
Benign neoplasm: Ribs, sternum and clavicle	CD2_BENIGN_RIBS_STERNUM_CLAVICLE
Benign neoplasm of soft tissue of retroperitoneum and peritoneum	CD2_BENIGN_RETROPERITONEUM_PERITONEUM
Benign neoplasm: Respiratory system, unspecified	CD2_BENIGN_RESPIRATORY_NOS
Benign neoplasm: Renal pelvis	CD2_BENIGN_RENALPELVIS
Benign neoplasm: Prostate	CD2_BENIGN_PROSTATE
Benign neoplasm: Pineal gland	CD2_BENIGN_PINEAL
Benign neoplasm: Pharynx, unspecified	CD2_BENIGN_PHARYNX_NOS
Benign neoplasm: Penis	CD2_BENIGN_PENIS
Benign neoplasm: Pelvic bones, sacrum and coccyx	CD2_BENIGN_PELVIC_BONES_SACRUM_COCCYX
Benign neoplasm: Pancreas	CD2_BENIGN_PANCREAS
Benign neoplasm of other and ill-defined parts of digestive system	CD2_BENIGN_OTHERDIGESTIVE
Benign neoplasm: Other parts of oropharynx	CD2_BENIGN_OROPHA_OTHER
Benign neoplasm: Orbit, unspecified	CD2_BENIGN_ORBIT_NOS
Benign neoplasm: Oesophagus	CD2_BENIGN_OESOPHAGUS
Benign neoplasm of mouth and pharynx	CD2_BENIGN_MOUTH_PHARYNX
Benign neoplasm: Spinal meninges	CD2_BENIGN_MENINGES_SPINAL
Beningn neoplasm: Meninges, unspecified	CD2_BENIGN_MENINGES_NOS
Melanocytic naevi of scalp and neck	CD2_BENIGN_MELANOCYTIC_SCALPNECK
Melanocytic naevi of lip	CD2_BENIGN_MELANOCYTIC_LIP
Melanocytic naevi of other and unspecified parts of face	CD2_BENIGN_MELANOCYTIC_FACE
Melanocytic naevi of eyelid, including canthus	CD2_BENIGN_MELANOCYTIC_EYELID
Benign neoplasm of male genital organs	CD2_BENIGN_MALE_GEN
Benign neoplasm: Lymph nodes	CD2_BENIGN_LYMPHNODES
Lymphangioma, anys site	CD2_BENIGN_LYMPHANGIOMA
Benign neoplasm: Liver	CD2_BENIGN_LIVER
Benign lipomatous neoplasm of other sites/unspecified	CD2_BENIGN_LIPO_NOS
Benign lipomatous neoplasm of  of intra-abdominal organs	CD2_BENIGN_LIPO_INTRATHO
Benign neoplasm: Kidney	CD2_BENIGN_KIDNEY
Benign neoplasm: Other specified/unspecified intrathoracic organs (+ respiratory system NOS of Icd-9)	CD2_BENIGN_INTRATHORACIC_NOS
Benign neoplasm of other and unspecified intrathoracic organs	CD2_BENIGN_INTRATHORACIC
Benign neoplasm: Hypopharynx	CD2_BENIGN_HYPOPHARYNX
Haemangioma, any site	CD2_BENIGN_HEMANGIOMA
Haemangioma and lymphangioma, any site	CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA
Benign neoplasm: Floor of mouth	CD2_BENIGN_FLOOROFMOUTH
Benign neoplasm of other and unspecified female genital organs	CD2_BENIGN_FEMALE_GEN_OTH
Benign neoplasm: Female genital organ, unspecified	CD2_BENIGN_FEMALE_GEN_NOS
Benign neoplasm: Extrahepatic bile ducts	CD2_BENIGN_EXTRAHEPATIC_BILE
Benign neoplasm: Epididymis	CD2_BENIGN_EPIDIDYMIS
Benign neoplasm: Endocrine gland, other/unspecified	CD2_BENIGN_ENDOCRINE_NOS
Benign neoplasm of middle ear and respiratory system	CD2_BENIGN_EAR_RESP
Benign neoplasm: Cornea	CD2_BENIGN_CORNEA
Benign neoplasm: Connective and other soft tissue of trunk, unspecified	CD2_BENIGN_CONNSOFT_TRUNK
Benign neoplasm: Connective and other soft tissue of pelvis	CD2_BENIGN_CONNSOFT_PELVIS
Benign neoplasm: Connective and other soft tissue of abdomen	CD2_BENIGN_CONNSOFT_ABD
Other benign neoplasms of connective and other soft tissue	CD2_BENIGN_CONNECTIVE_SOFT
Benign neoplasm: Conjunctiva	CD2_BENIGN_CONJUNCTIVA
Benign neoplasm: Ciliary body	CD2_BENIGN_CILIARY
Other benign neoplasm of uterus: Cervix uteri	CD2_BENIGN_CERVIX_UTERI
Benign neoplasm: Carotid body	CD2_BENIGN_CAROTIDBODY
Benign neoplasm: Bronchus and lung	CD2_BENIGN_BRONCHUS_LUNG
Benign neoplasm: Brain, supratentorial	CD2_BENIGN_BRAIN_SUPRATENT
Benign neoplasm: Brain, unspecified	CD2_BENIGN_BRAIN_NOS
Benign neoplasm: Brain, infratentorial	CD2_BENIGN_BRAIN_INFRATENT
Benign neoplasm: Bones of skull and face	CD2_BENIGN_BONE_SKULL_FACE
Benign neoplasm: Lower jaw bone	CD2_BENIGN_BONE_LOWER_JAW
Benign neoplasm: Bone and articular cartilage, unspecified	CD2_BENIGN_BONE_CARTILAGE_NOS
Benign neoplasm: Bladder	CD2_BENIGN_BLADDER
Benign neoplasm: Anus and anal canal	CD2_BENIGN_ANUS_ANAL_CANAL
Cardiomyopathy due to drugs and other external agents	CARDIOMYOPATHY_DRUGS_OTHER_EXTER_AGENTS
Wilms' tumor, excluding all cancers (controls excluding all cancers)	C3_WILMS_TUMOR_EXALLC
Wilms' tumor	C3_WILMS_TUMOR
Malignant neoplasm of vulva, excluding all cancers (controls excluding all cancers)	C3_VULVA_EXALLC
Malignant neoplasm of vagina, excluding all cancers (controls excluding all cancers)	C3_VAGINA_EXALLC
Malignant cancer of tonsil and base of tongue, excluding all cancers (controls excluding all cancers)	C3_TONSIL_BASETONGUE_EXALLC
Medullary carcinoma of thyroid gland, excluding all cancers (controls excluding all cancers)	C3_THYROID_MEDULLARY_EXALLC
Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system, excluding all cancers (controls excluding all cancers)	C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS_EXALLC
Rhabdomyosarcoma, excluding all cancers (controls excluding all cancers)	C3_RHABDOMYOSARCOMA_EXALLC
Malignant neoplasm of renal pelvis, excluding all cancers (controls excluding all cancers)	C3_RENAL_PELVIS_EXALLC
Neuroendocrine tumor and carcinoma of rectum, excluding all cancers (controls excluding all cancers)	C3_RECTUM_NEUROENDOCRINE_EXALLC
Malignant neoplasm of penis, excluding all cancers (controls excluding all cancers)	C3_PENIS_EXALLC
Malignant neoplasm of parotid gland, excluding all cancers (controls excluding all cancers)	C3_PAROTIDGLAND_EXALLC
Granulosa cell carcinoma of ovary, excluding all cancers (controls excluding all cancers)	C3_OVARY_GRANULOSA_EXALLC
Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers)	C3_OVARY_EXALLC
Endometroid carcinoma of ovary, excluding all cancers (controls excluding all cancers)	C3_OVARY_ENDOMETROID_EXALLC
Osteosarcoma, excluding all cancers (controls excluding all cancers)	C3_OSTEOSARCOMA_EXALLC
Malignant neoplasm of nasopharynx, excluding all cancers (controls excluding all cancers)	C3_NASOPHARYNX_EXALLC
Myelodysplastic syndrome, excluding all cancers (controls excluding all cancers)	C3_MYELODYSP_SYNDR_EXALLC
Malignant neoplasm of meninges, excluding all cancers (controls excluding all cancers)	C3_MENINGES_EXALLC
Neuroendocrine tumor and carcinoma of lung, excluding all cancers (controls excluding all cancers)	C3_LUNG_NEUROENDO_EXALLC
Liposarcoma, excluding all cancers (controls excluding all cancers)	C3_LIPOSARCOMA_EXALLC
Leiomyosarcoma, excluding all cancers (controls excluding all cancers)	C3_LEIOMYOSARCOMA_EXALLC
Chromophobe cell carcinoma of kidney, excluding all cancers (controls excluding all cancers)	C3_KIDNEY_CHROMOPHOBE_EXALLC
Kaposi sarcoma, excluding all cancers (controls excluding all cancers)	C3_KAPOSI_SARCOMA_EXALLC
Gastrointestinal stromal tumor and sarcoma, excluding all cancers (controls excluding all cancers)	C3_GASTRINT_STROM_EXALLC
Fibrosarcoma, excluding all cancers (controls excluding all cancers)	C3_FIBROSARCOMA_EXALLC
Ependymoma, excluding all cancers (controls excluding all cancers)	C3_EPENDYDOMA_EXALLC
Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)	C3_CORPUS_UTERI_EXALLC
Colorectal neuroendocrine tumor and carcinoma, excluding all cancers (controls excluding all cancers)	C3_COLORECTAL_NEUROENDO_EXALLC
Rare circulating lymphoid malignancy	C3_CIRCULATING_LYMPHOID
Adenocarcinomas of cervix, excluding all cancers (controls excluding all cancers)	C3_CERVIX_ADENO_EXALLC
Malignant neoplasm of bone and articular cartilage, excluding all cancers (controls excluding all cancers)	C3_BONE_CARTILAGE_EXALLC
Malignant neoplasm of anus and anal canal, excluding all cancers (controls excluding all cancers)	C3_ANUS_ANALCANAL_EXALLC
Acute myeloid leukaemia and myelodysplastic syndromes, excluding all cancers (controls excluding all cancers)	C3_AML_MDS_EXALLC
Acute myeloid leukaemia and myelodysplastic syndromes	C3_AML_MDS
Acute myeloid leukaemia, excluding all cancers (controls excluding all cancers)	C3_AML_EXALLC
Acute lymphocytic leukaemia, excluding all cancers (controls excluding all cancers)	C3_ALL_EXALLC
Malignant neoplasm of adrenal gland, excluding all cancers (controls excluding all cancers)	C3_ADRENAL_GLAND_EXALLC
Other specified/unspecified bacterial intestinal infections	BACT_INTEST_INFECTION_NOS
Asthma and opportunity respiratory infection	ASTHMA_OPPORTUNIST_INFECTIONS
Alcohol withdrawal state with delirium 	ALCODELIRIUM
Acute drug-induced interstitial lung disorder	ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD
Allergic bronchopulmonary aspergillosis (ABPA)	ABPA
Certain zoonotic bacterial diseases	AB1_ZOONOTIC_BACTERIAL
Viral infections of central nervous system, not elsewhere classified/unspecified	AB1_VIRAN_CNS_INFECTIONS_NOS
Viral meningitis	AB1_VIRAL_MENINGITIS
Viral hepatitis	AB1_VIRAL_HEPATITIS
Viral encephalitis, not elsewhere classified/unspecified	AB1_VIRAL_ENCEPHALITIS_NOS
Viral infections of the central nervous system	AB1_VIRAL_CNS
Viral conjunctivitis	AB1_VIRAAL_CONJUNCT
Typhoid and paratyphoid fevers	AB1_TYPHOIDPARATHYPHOID
Tularaemia	AB1_TULARAEMIA
Tuberculosis of other organs, strict	AB1_TUBERCU_OTH_ORG
Trichomoniasis	AB1_TRICHOMONIASIS
Toxoplasmosis	AB1_TOXOPLASMOSIS
Tick-borne viral encephalitis	AB1_TICK_BORNE_ENCEPHALITIS
Other and unspecified syphilis	AB1_SYPHILIS_NOS
Syphilis	AB1_SYPHILIS
Streptococcus and staphylococcus as the cause of diseases classified to other chapters	AB1_STREPTSTAPHYCOCC_INOTHER
Streptococcal septicaemia	AB1_STREPTO_SEPSIS
Shigellosis	AB1_SHIGELLOSIS
Sequelae of tuberculosis	AB1_SEQULAE_TUBERCU
Sequelae of poliomyelitis	AB1_SEQULAE_POLIO
Sequelae of other and unspecified infectious and parasitic diseases	AB1_SEQULAE_INF_NOS
Rickettsioses	AB1_RICKETTSIOSES
Respiratory tuberculosis, not confirmed	AB1_RESP_TUBERCU_NONCONF
Protozoal diseases	AB1_PROTOZOAL
Acute poliomyelitis	AB1_POLIOMYELITIS
Pneumocystosis	AB1_PNEUMOCYSTOSIS
Pediculosis and phthiriasis	AB1_PEDICULOSIS_AND_PHTHIRIAASIS
Other protozoal intestinal diseases	AB1_OTHER_PROTOZOAL
Other mosquito-borne viral fevers	AB1_OTHER_MOSQUITO_FEVER
Other infestations	AB1_OTHER_INFESTATIONS
Human immunodeficiency virus [HIV] disease resulting in other conditions	AB1_OTHER_CONDITIONS
Other diseases caused by chlamydiae	AB1_OTHER_CHLAMYDIAE
Other cestode infections	AB1_OTHER_CESTODE
Other bacterial agents as the cause of diseases classified to other chapters	AB1_OTHER_BACT_INOTHER
Other mycoses, not elsewhere classified/unspecified	AB1_MYSOSIS_NOS
Mumps	AB1_MUMPS
Meningococcal infection	AB1_MENINGOCOCCAL
Other parasitologically confirmed or unspecified malaria	AB1_MALARIA_NOS
Plasmodium falciparum malaria	AB1_MALARIA_FALCIPARIUM
Listeriosis	AB1_LISTERIOSIS
Late syphilis	AB1_LATE_SYPHILIS
Unspecified human immunodeficiency virus [HIV] disease	AB1_HIV_NOS
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	AB1_HIV_INFECT_PARASITES
Acute hepatitis B	AB1_HEPATITIS_B
Acute hepatitis A	AB1_HEPATITIS_A
Helminthiases	AB1_HELMINTIASES
Gonococcal infection	AB1_GONOCOCCAL
Early syphilis	AB1_EARLY_SYPHILIS
Diphtheria	AB1_DIBTHERIA
Dengue fever [classical dengue]	AB1_DENGUE_FEVER
Other sexually transmitted chlamydial diseases	AB1_CHLAMYDIA_OTHER
Candidiasis	AB1_CANDIDIASIS
Bacterial, viral and other infectious agents	AB1_BACT_BIR_OTHER_INF_AGENTS
Atypical virus infections of central nervous system	AB1_ATYPICAL_CNS_VIRUS
Aspergillosis	AB1_ASPERGILLOSIS
Anogenital herpesviral [herpes simplex] infection	AB1_ANOGENITAL_HERPES_SIMPLEX
Amoebiasis	AB1_AMOEBIASIS
Actinomycosis	AB1_ACTINOMYCOSIS
Miliary tuberculosis	AB1TUBERCU_MILIARY
